epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1368,0.36394,0.42302,0.98829,0.9935,0.99577,0.995,0.9587,0.26311,0.31795,0.84748,0.000650909,0.000650909,0.000650909
57,1392.76,0.35111,0.42513,0.99665,0.98486,1,0.995,0.96341,0.25225,0.28146,0.83573,0.000636762,0.000636762,0.000636762
58,1417.02,0.34911,0.40876,0.97104,0.97674,0.99777,0.995,0.96272,0.26613,0.30642,0.83874,0.000622615,0.000622615,0.000622615
59,1441.67,0.35847,0.38832,0.96487,0.99554,1,0.995,0.96588,0.23878,0.2981,0.82089,0.000608468,0.000608468,0.000608468
60,1465.75,0.35086,0.39041,0.97924,0.99547,1,0.995,0.9857,0.23195,0.27421,0.81693,0.000594321,0.000594321,0.000594321
61,1490.03,0.34166,0.39793,0.97045,0.99446,1,0.995,0.9833,0.2181,0.2762,0.80744,0.000580174,0.000580174,0.000580174
62,1514.42,0.3617,0.3966,0.99074,0.99313,1,0.995,0.98814,0.22199,0.27371,0.81748,0.000566027,0.000566027,0.000566027
63,1538.9,0.37568,0.41835,1.01913,0.98759,0.99853,0.995,0.97316,0.24184,0.28907,0.82813,0.00055188,0.00055188,0.00055188
64,1563.7,0.37703,0.42437,0.99694,0.98926,0.9978,0.995,0.97235,0.24072,0.29341,0.83069,0.000537733,0.000537733,0.000537733
65,1588.17,0.30523,0.345,0.93064,0.99578,0.99884,0.995,0.97544,0.22929,0.27249,0.81616,0.000523586,0.000523586,0.000523586
66,1612.68,0.33491,0.37789,0.97152,0.99618,0.99939,0.995,0.96734,0.25436,0.27998,0.82712,0.000509438,0.000509438,0.000509438
67,1636.74,0.35551,0.38941,0.98776,0.99549,0.99863,0.995,0.97801,0.24267,0.27714,0.82833,0.000495291,0.000495291,0.000495291
68,1661.23,0.31591,0.36879,0.96965,0.99497,0.9988,0.995,0.9742,0.23293,0.26387,0.82603,0.000481144,0.000481144,0.000481144
69,1685.51,0.33483,0.36904,0.96459,0.99333,0.99899,0.995,0.981,0.21858,0.25722,0.8182,0.000466997,0.000466997,0.000466997
70,1709.7,0.33307,0.35335,0.98897,0.99349,0.99375,0.995,0.98101,0.20936,0.24695,0.81043,0.00045285,0.00045285,0.00045285
71,1734.23,0.31919,0.32987,0.96128,0.99648,1,0.995,0.97944,0.21106,0.23537,0.81056,0.000438703,0.000438703,0.000438703
72,1758.42,0.33525,0.37673,0.97277,0.99727,1,0.995,0.97613,0.24069,0.24938,0.82347,0.000424556,0.000424556,0.000424556
73,1782.93,0.32946,0.3551,0.96767,0.99698,1,0.995,0.98635,0.21238,0.24196,0.81127,0.000410409,0.000410409,0.000410409
74,1806.94,0.32588,0.33822,0.9675,0.99705,1,0.995,0.98425,0.22119,0.25017,0.81536,0.000396262,0.000396262,0.000396262
75,1831.44,0.31664,0.3413,0.95177,0.99548,1,0.995,0.98137,0.20803,0.23939,0.80776,0.000382115,0.000382115,0.000382115
76,1855.92,0.32573,0.36092,0.98344,0.99361,1,0.995,0.98442,0.20723,0.24237,0.80453,0.000367967,0.000367967,0.000367967
77,1880.21,0.3181,0.36366,0.97346,0.99317,1,0.995,0.98017,0.1979,0.23514,0.8,0.00035382,0.00035382,0.00035382
78,1904.54,0.33629,0.3439,0.99933,0.99491,0.9999,0.995,0.9879,0.17942,0.21633,0.79201,0.000339673,0.000339673,0.000339673
79,1929.38,0.3359,0.35157,0.98492,0.9965,1,0.995,0.98948,0.18451,0.21774,0.79227,0.000325526,0.000325526,0.000325526
80,1953.73,0.29964,0.33708,0.95504,0.99744,1,0.995,0.99107,0.18531,0.22754,0.79362,0.000311379,0.000311379,0.000311379
81,1978.1,0.30414,0.31645,0.93776,0.99635,1,0.995,0.9818,0.20341,0.23265,0.80126,0.000297232,0.000297232,0.000297232
82,2002.22,0.29744,0.32357,0.9604,0.9963,1,0.995,0.98693,0.19503,0.22755,0.79862,0.000283085,0.000283085,0.000283085
83,2027.06,0.30422,0.32723,0.95717,0.99678,1,0.995,0.98368,0.18765,0.22451,0.79946,0.000268938,0.000268938,0.000268938
84,2051.59,0.28178,0.31683,0.93972,0.99565,1,0.995,0.98004,0.19248,0.22011,0.80032,0.000254791,0.000254791,0.000254791
85,2075.66,0.27864,0.32197,0.94547,0.99311,0.99922,0.995,0.98006,0.1893,0.21117,0.79672,0.000240644,0.000240644,0.000240644
86,2100.71,0.2947,0.3232,0.94272,0.99166,0.99912,0.995,0.98199,0.18443,0.20988,0.7935,0.000226497,0.000226497,0.000226497
87,2125.85,0.32687,0.31688,0.96457,0.9943,1,0.995,0.97697,0.18185,0.21063,0.79481,0.000212349,0.000212349,0.000212349
88,2150.69,0.27873,0.29966,0.93919,0.99643,0.98667,0.99449,0.98241,0.19611,0.21605,0.80147,0.000198202,0.000198202,0.000198202
89,2175.35,0.30397,0.31064,0.95561,0.99762,0.98667,0.99449,0.981,0.20035,0.22245,0.80407,0.000184055,0.000184055,0.000184055
90,2199.63,0.26445,0.29027,0.93466,0.98968,0.99853,0.995,0.98912,0.18151,0.21429,0.79521,0.000169908,0.000169908,0.000169908
91,2224.1,0.15341,0.27555,0.83336,0.99481,1,0.995,0.98472,0.16865,0.21232,0.78766,0.000155761,0.000155761,0.000155761
92,2249.82,0.15342,0.28085,0.8065,0.99372,1,0.995,0.98331,0.17025,0.2159,0.78684,0.000141614,0.000141614,0.000141614
93,2275.3,0.14921,0.27621,0.79382,0.99337,1,0.995,0.98802,0.17404,0.21377,0.78679,0.000127467,0.000127467,0.000127467
94,2301.31,0.13979,0.27134,0.79249,0.99358,1,0.995,0.98894,0.1741,0.20761,0.78757,0.00011332,0.00011332,0.00011332
95,2326.99,0.14534,0.26232,0.80757,0.99531,1,0.995,0.98842,0.17,0.20928,0.7856,9.91726e-05,9.91726e-05,9.91726e-05
96,2352.55,0.1359,0.25807,0.79932,0.99507,1,0.995,0.98789,0.17435,0.20984,0.78659,8.50255e-05,8.50255e-05,8.50255e-05
97,2377.69,0.14097,0.25248,0.80044,0.99446,1,0.995,0.98949,0.17354,0.20849,0.7863,7.08784e-05,7.08784e-05,7.08784e-05
98,2403.83,0.1513,0.26999,0.81843,0.99362,0.99963,0.995,0.98459,0.17062,0.20853,0.78503,5.67313e-05,5.67313e-05,5.67313e-05
99,2429.71,0.1245,0.24879,0.79611,0.99513,1,0.995,0.99056,0.17151,0.20068,0.78377,4.25842e-05,4.25842e-05,4.25842e-05
100,2455.66,0.13826,0.2604,0.79447,0.9955,1,0.995,0.9906,0.16952,0.20059,0.78259,2.84371e-05,2.84371e-05,2.84371e-05
